16:26:59,161 28.11.2013	

time [s];Voltage over 220Ohm;Current in[mA];Voltage out
31,582;3,300;0,806;3,663;1,397
31,682;3,300;0,806;3,664;1,397
31,782;3,300;0,806;3,664;1,398
31,882;3,300;0,806;3,665;1,398
31,982;3,300;0,806;3,665;1,398
32,082;3,300;0,806;3,664;1,397
32,182;3,300;0,806;3,662;1,397
32,282;3,300;0,806;3,663;1,398
32,382;3,300;0,806;3,663;1,397
32,482;3,300;0,806;3,664;1,397
32,582;3,300;0,806;3,664;1,397
32,682;3,300;0,806;3,665;1,397
32,782;3,300;0,806;3,666;1,398
32,882;3,300;0,806;3,662;1,398
32,982;3,300;0,806;3,663;1,398
33,082;3,300;0,806;3,663;1,398
33,182;3,300;0,806;3,664;1,398
33,281;3,300;0,806;3,665;1,397
33,381;3,300;0,806;3,665;1,397
33,481;3,300;0,806;3,665;1,398
33,581;3,300;0,806;3,662;1,398
33,681;3,300;0,806;3,663;1,397
33,781;3,300;0,806;3,663;1,397
33,881;3,300;0,806;3,664;1,397
33,981;3,300;0,806;3,664;1,397
34,081;3,300;0,806;3,665;1,397
34,181;3,300;0,806;3,666;1,397
34,281;3,300;0,806;3,663;1,398
34,381;3,300;0,806;3,663;1,397
34,481;3,300;0,806;3,664;1,397
34,581;3,300;0,806;3,664;1,398
34,681;3,300;0,806;3,665;1,398
34,781;3,300;0,806;3,666;1,398
34,881;3,300;0,807;3,666;1,397
34,981;3,300;0,806;3,663;1,398
35,081;3,300;0,806;3,663;1,398
35,181;3,300;0,806;3,664;1,398
35,281;3,300;0,806;3,665;1,397
35,381;3,300;0,806;3,665;1,397
35,481;3,300;0,806;3,665;1,398
35,581;3,300;0,806;3,665;1,397
35,681;3,300;0,806;3,662;1,397
35,781;3,300;0,806;3,663;1,398
35,881;3,300;0,806;3,664;1,398
35,981;3,300;0,806;3,665;1,397
36,081;3,300;0,807;3,666;1,398
36,181;3,300;0,806;3,665;1,397
36,281;3,300;0,806;3,663;1,397
36,381;3,300;0,806;3,664;1,397
36,481;3,300;0,806;3,664;1,397
36,581;3,300;0,806;3,665;1,397
36,681;3,300;0,806;3,665;1,398
36,781;3,300;0,806;3,665;1,397
36,881;3,300;0,806;3,663;1,398
36,981;3,300;0,806;3,663;1,398
37,081;3,300;0,806;3,663;1,397
37,181;3,300;0,806;3,664;1,397
37,281;3,300;0,806;3,665;1,397
37,381;3,300;0,807;3,666;1,397
37,481;3,300;0,807;3,666;1,397
37,581;3,300;0,806;3,662;1,398
37,681;3,300;0,806;3,664;1,397
37,781;3,300;0,806;3,665;1,398
37,881;3,300;0,806;3,665;1,397
37,981;3,300;0,807;3,666;1,398
38,081;3,300;0,806;3,663;1,397
38,181;3,300;0,806;3,663;1,398
38,281;3,300;0,806;3,663;1,398
38,381;3,300;0,806;3,664;1,398
38,481;3,300;0,806;3,665;1,398
38,581;3,300;0,806;3,666;1,398
38,681;3,300;0,806;3,665;1,397
38,781;3,300;0,806;3,662;1,398
38,881;3,300;0,806;3,663;1,397
38,981;3,300;0,806;3,664;1,397
39,081;3,300;0,806;3,664;1,397
39,181;3,300;0,806;3,665;1,397
39,281;3,300;0,806;3,666;1,397
39,381;3,300;0,806;3,664;1,397
39,481;3,300;0,806;3,662;1,398
39,581;3,300;0,806;3,663;1,397
39,681;3,300;0,806;3,664;1,397
39,781;3,300;0,806;3,664;1,397
39,881;3,300;0,806;3,665;1,397
39,981;3,300;0,807;3,666;1,398
40,081;3,300;0,806;3,663;1,398
40,181;3,300;0,806;3,663;1,397
40,281;3,300;0,806;3,664;1,398
40,381;3,300;0,806;3,665;1,397
40,481;3,300;0,806;3,665;1,398
40,581;3,300;0,807;3,667;1,397
40,681;3,300;0,806;3,664;1,398
40,781;3,300;0,806;3,663;1,397
40,881;3,300;0,806;3,663;1,397
40,981;3,300;0,806;3,664;1,397
41,081;3,300;0,806;3,664;1,398
41,181;3,300;0,806;3,665;1,397
41,281;3,300;0,806;3,666;1,397
41,381;3,300;0,806;3,665;1,397
41,481;3,300;0,806;3,662;1,397
41,581;3,300;0,806;3,663;1,397
41,681;3,300;0,806;3,664;1,397
41,781;3,300;0,806;3,664;1,397
41,881;3,300;0,806;3,665;1,397
41,981;3,300;0,806;3,666;1,398
42,081;3,300;0,806;3,663;1,397
42,181;3,300;0,806;3,663;1,398
42,281;3,300;0,806;3,663;1,398
42,381;3,300;0,806;3,664;1,398
42,481;3,300;0,806;3,665;1,398
42,581;3,300;0,806;3,665;1,398
42,681;3,300;0,806;3,665;1,398
42,781;3,300;0,806;3,662;1,398
42,881;3,300;0,806;3,663;1,397
42,981;3,300;0,806;3,664;1,397
43,081;3,300;0,806;3,664;1,398
43,181;3,300;0,806;3,666;1,397
43,281;3,300;0,806;3,666;1,398
43,381;3,300;0,806;3,662;1,397
43,481;3,300;0,806;3,663;1,397
43,581;3,300;0,806;3,664;1,398
43,681;3,300;0,806;3,664;1,397
43,782;3,300;0,806;3,664;1,398
43,882;3,300;0,806;3,665;1,397
43,982;3,300;0,806;3,665;1,398
44,082;3,300;0,806;3,665;1,398
44,182;3,300;0,806;3,664;1,398
44,282;3,300;0,806;3,663;1,398
44,382;3,300;0,806;3,663;1,397
44,482;3,300;0,806;3,663;1,398
44,582;3,300;0,806;3,663;1,398
44,682;3,300;0,806;3,664;1,398
44,782;3,300;0,806;3,665;1,398
44,882;3,300;0,806;3,665;1,397
44,982;3,300;0,806;3,665;1,398
45,082;3,300;0,806;3,664;1,397
45,182;3,300;0,806;3,663;1,398
45,282;3,300;0,806;3,662;1,398
45,382;3,300;0,806;3,663;1,397
45,482;3,300;0,806;3,663;1,398
45,582;3,300;0,806;3,664;1,397
45,682;3,300;0,806;3,664;1,398
45,782;3,300;0,806;3,664;1,397
45,882;3,300;0,806;3,664;1,398
45,982;3,300;0,806;3,664;1,398
46,082;3,300;0,806;3,664;1,398
46,182;3,300;0,806;3,664;1,397
46,282;3,300;0,806;3,664;1,397
46,382;3,300;0,806;3,663;1,398
46,482;3,300;0,806;3,662;1,398
46,582;3,300;0,806;3,663;1,398
46,682;3,300;0,806;3,665;1,398
46,782;3,300;0,806;3,664;1,398
46,882;3,300;0,806;3,665;1,398
46,982;3,300;0,806;3,664;1,397
47,082;3,300;0,806;3,664;1,397
47,182;3,300;0,806;3,662;1,398
47,282;3,300;0,806;3,663;1,398
47,382;3,300;0,806;3,663;1,397
47,482;3,300;0,806;3,663;1,397
47,582;3,300;0,806;3,664;1,397
47,682;3,300;0,806;3,664;1,397
47,782;3,300;0,807;3,667;1,397
47,882;3,300;0,806;3,664;1,398
47,982;3,300;0,806;3,663;1,398
48,082;3,300;0,806;3,663;1,398
48,182;3,300;0,806;3,664;1,398
48,282;3,300;0,806;3,666;1,397
48,382;3,300;0,807;3,666;1,398
48,482;3,300;0,806;3,663;1,398
48,582;3,300;0,806;3,663;1,397
48,682;3,300;0,806;3,664;1,398
48,782;3,300;0,806;3,665;1,397
48,882;3,300;0,806;3,666;1,398
48,982;3,300;0,806;3,665;1,398
49,082;3,300;0,806;3,662;1,397
49,182;3,300;0,806;3,663;1,398
49,282;3,300;0,806;3,664;1,397
49,382;3,300;0,806;3,666;1,397
49,482;3,300;0,807;3,666;1,398
49,582;3,300;0,806;3,662;1,398
49,682;3,300;0,806;3,663;1,398
49,782;3,300;0,806;3,665;1,398
49,882;3,300;0,806;3,666;1,397
49,982;3,300;0,806;3,666;1,398
50,082;3,300;0,806;3,664;1,397
50,182;3,300;0,806;3,662;1,397
50,282;3,300;0,806;3,663;1,398
50,382;3,300;0,806;3,664;1,398
50,482;3,300;0,806;3,664;1,397
50,582;3,300;0,806;3,665;1,397
50,682;3,300;0,806;3,665;1,398
50,781;3,300;0,806;3,665;1,397
50,881;3,300;0,806;3,663;1,398
50,981;3,300;0,806;3,663;1,398
51,081;3,300;0,806;3,664;1,398
51,181;3,300;0,806;3,664;1,398
51,281;3,300;0,806;3,664;1,397
51,381;3,300;0,806;3,664;1,398
51,481;3,300;0,806;3,665;1,398
51,581;3,300;0,806;3,665;1,398
51,681;3,300;0,806;3,664;1,398
51,781;3,300;0,806;3,662;1,397
51,881;3,300;0,806;3,663;1,397
51,981;3,300;0,806;3,663;1,398
52,081;3,300;0,806;3,664;1,398
52,181;3,300;0,806;3,665;1,398
52,281;3,300;0,806;3,665;1,398
52,381;3,300;0,806;3,666;1,398
52,481;3,300;0,806;3,663;1,398
52,581;3,300;0,806;3,663;1,398
52,681;3,300;0,806;3,663;1,398
52,781;3,300;0,806;3,664;1,398
52,881;3,300;0,806;3,664;1,397
52,981;3,300;0,806;3,665;1,397
53,081;3,300;0,806;3,666;1,398
53,181;3,300;0,806;3,663;1,398
53,281;3,300;0,806;3,663;1,397
53,381;3,300;0,806;3,663;1,398
53,481;3,300;0,806;3,663;1,398
53,581;3,300;0,806;3,664;1,397
53,681;3,300;0,806;3,664;1,397
53,781;3,300;0,806;3,664;1,398
53,881;3,300;0,807;3,666;1,397
53,981;3,300;0,806;3,665;1,398
54,081;3,300;0,806;3,662;1,398
54,181;3,300;0,806;3,664;1,397
54,281;3,300;0,806;3,664;1,398
54,381;3,300;0,806;3,666;1,398
54,481;3,300;0,806;3,665;1,397
54,581;3,300;0,806;3,662;1,398
54,681;3,300;0,806;3,663;1,397
54,781;3,300;0,806;3,664;1,397
54,881;3,300;0,806;3,664;1,397
54,981;3,300;0,806;3,665;1,398
55,081;3,300;0,807;3,666;1,397
55,181;3,300;0,806;3,663;1,397
55,281;3,300;0,806;3,663;1,397
55,381;3,300;0,806;3,663;1,398
55,481;3,300;0,806;3,664;1,397
55,581;3,300;0,806;3,664;1,397
55,681;3,300;0,806;3,664;1,398
55,781;3,300;0,806;3,664;1,398
55,881;3,300;0,806;3,665;1,397
55,981;3,300;0,806;3,665;1,398
56,081;3,300;0,806;3,662;1,397
56,181;3,300;0,806;3,663;1,397
56,281;3,300;0,806;3,663;1,397
56,381;3,300;0,806;3,664;1,397
56,481;3,300;0,806;3,664;1,397
56,581;3,300;0,806;3,665;1,398
56,681;3,300;0,806;3,665;1,398
56,781;3,300;0,806;3,665;1,397
56,881;3,300;0,806;3,662;1,398
56,981;3,300;0,806;3,663;1,398
57,081;3,300;0,806;3,663;1,398
57,181;3,300;0,806;3,665;1,397
57,281;3,300;0,806;3,665;1,397
57,381;3,300;0,806;3,665;1,397
57,481;3,300;0,806;3,664;1,398
57,581;3,300;0,806;3,662;1,398
57,681;3,300;0,806;3,663;1,398
57,781;3,300;0,806;3,663;1,397
57,881;3,300;0,806;3,663;1,397
57,981;3,300;0,806;3,663;1,398
58,081;3,300;0,806;3,663;1,397
58,181;3,300;0,806;3,664;1,398
58,281;3,300;0,806;3,664;1,398
58,381;3,300;0,806;3,664;1,398
58,481;3,300;0,806;3,664;1,398
58,581;3,300;0,806;3,664;1,397
58,681;3,300;0,806;3,664;1,398
58,781;3,300;0,806;3,662;1,398
58,881;3,300;0,806;3,663;1,398
58,981;3,300;0,806;3,663;1,398
59,081;3,300;0,806;3,664;1,398
59,181;3,300;0,806;3,664;1,397
59,281;3,300;0,806;3,664;1,398
59,381;3,300;0,806;3,664;1,397
59,481;3,300;0,806;3,663;1,397
59,581;3,300;0,806;3,665;1,397
59,681;3,300;0,806;3,664;1,397
59,781;3,300;0,806;3,662;1,398
59,881;3,300;0,806;3,663;1,397
59,981;3,300;0,806;3,663;1,397
60,081;3,300;0,806;3,664;1,398
60,181;3,300;0,806;3,664;1,397
60,281;3,300;0,806;3,664;1,397
60,381;3,300;0,806;3,664;1,398
60,481;3,300;0,806;3,665;1,397
60,581;3,300;0,806;3,664;1,398
60,681;3,300;0,806;3,662;1,398
60,781;3,300;0,806;3,662;1,397
60,881;3,300;0,806;3,663;1,398
60,981;3,300;0,806;3,663;1,398
61,081;3,300;0,806;3,664;1,397
61,181;3,300;0,806;3,665;1,398
61,282;3,300;0,806;3,665;1,398
61,383;3,300;0,806;3,663;1,398
61,482;3,300;0,806;3,662;1,397
61,582;3,300;0,806;3,662;1,397
61,682;3,300;0,806;3,663;1,398
61,782;3,300;0,806;3,663;1,398
61,882;3,300;0,806;3,664;1,398
61,982;3,300;0,806;3,665;1,398
62,082;3,300;0,806;3,665;1,397
62,182;3,300;0,806;3,665;1,398
62,282;3,300;0,806;3,663;1,397
62,382;3,300;0,806;3,662;1,397
62,482;3,300;0,806;3,663;1,398
62,582;3,300;0,806;3,663;1,398
62,682;3,300;0,806;3,663;1,398
62,782;3,300;0,806;3,663;1,398
62,882;3,300;0,806;3,664;1,398
62,982;3,300;0,806;3,665;1,398
63,082;3,300;0,806;3,664;1,397
63,182;3,300;0,806;3,664;1,398
63,282;3,300;0,806;3,664;1,398
63,382;3,300;0,806;3,664;1,398
63,482;3,300;0,806;3,662;1,397
63,582;3,300;0,806;3,663;1,398
63,682;3,300;0,806;3,663;1,398
63,782;3,300;0,806;3,663;1,398
63,882;3,300;0,806;3,663;1,398
63,982;3,300;0,806;3,664;1,398
64,086;3,300;0,806;3,664;1,398
64,186;3,300;0,806;3,664;1,398
64,282;3,300;0,806;3,664;1,398
64,382;3,300;0,806;3,664;1,397
64,482;3,300;0,806;3,665;1,398
64,582;3,300;0,806;3,664;1,397
64,682;3,300;0,806;3,663;1,398
64,782;3,300;0,806;3,663;1,398
64,882;3,300;0,806;3,664;1,398
64,982;3,300;0,806;3,663;1,397
65,082;3,300;0,806;3,664;1,398
65,182;3,300;0,806;3,664;1,398
65,282;3,300;0,806;3,665;1,398
65,382;3,300;0,806;3,664;1,397
65,482;3,300;0,806;3,665;1,398
65,582;3,300;0,806;3,665;1,398
65,682;3,300;0,806;3,665;1,398
