05.01.2006	16:53
Strøm 3,3V  	  Strøm 2,5V	    Teller	       Sendt	        Mottatt	            Sjekk	       Sekunder	   Sendt	     Mottatt
25,14     	  39,29   	    0      	       1000101      	0         	    FALSE 	       44,80  	   45     	     0         
25,81     	  39,45   	    0      	       1001010      	0         	    FALSE 	       44,93  	   4A     	     0         
25,34     	  39,06   	    0      	       1000101      	0         	    FALSE 	       45,00  	   45     	     0         
25,37     	  39,55   	    0      	       1001010      	0         	    FALSE 	       45,10  	   4A     	     0         
25,37     	  39,43   	    0      	       1000101      	0         	    FALSE 	       45,20  	   45     	     0         
28,58     	  39,47   	    0      	       1001010      	0         	    FALSE 	       45,30  	   4A     	     0         
28,93     	  39,08   	    0      	       1000101      	0         	    FALSE 	       45,40  	   45     	     0         
28,75     	  39,52   	    0      	       1001010      	0         	    FALSE 	       45,50  	   4A     	     0         
29,07     	  39,41   	    0      	       1000101      	0         	    FALSE 	       45,61  	   45     	     0         
29,03     	  39,34   	    0      	       1001010      	0         	    FALSE 	       45,71  	   4A     	     0         
26,01     	  39,25   	    0      	       1000101      	0         	    FALSE 	       45,81  	   45     	     0         
25,53     	  39,58   	    0      	       1001010      	0         	    FALSE 	       45,91  	   4A     	     0         
25,67     	  39,51   	    0      	       1000101      	0         	    FALSE 	       46,01  	   45     	     0         
25,53     	  39,36   	    0      	       1001010      	0         	    FALSE 	       46,11  	   4A     	     0         
25,47     	  39,18   	    0      	       1000101      	0         	    FALSE 	       46,21  	   45     	     0         
28,93     	  39,58   	    0      	       1001010      	0         	    FALSE 	       46,31  	   4A     	     0         
28,56     	  39,37   	    0      	       1000101      	0         	    FALSE 	       46,41  	   45     	     0         
29,07     	  39,37   	    0      	       1001010      	0         	    FALSE 	       46,51  	   4A     	     0         
28,65     	  39,25   	    0      	       1000101      	0         	    FALSE 	       46,61  	   45     	     0         
28,42     	  39,51   	    0      	       1001010      	0         	    FALSE 	       46,71  	   4A     	     0         
25,38     	  39,41   	    0      	       1000101      	0         	    FALSE 	       46,81  	   45     	     0         
25,65     	  39,36   	    0      	       1001010      	0         	    FALSE 	       46,91  	   4A     	     0         
25,95     	  39,10   	    0      	       1000101      	0         	    FALSE 	       47,01  	   45     	     0         
25,65     	  39,57   	    0      	       1001010      	0         	    FALSE 	       47,11  	   4A     	     0         
25,49     	  39,29   	    0      	       1000101      	0         	    FALSE 	       47,21  	   45     	     0         
28,96     	  39,27   	    0      	       1001010      	0         	    FALSE 	       47,31  	   4A     	     0         
29,19     	  39,33   	    0      	       1000101      	0         	    FALSE 	       47,41  	   45     	     0         
28,53     	  39,50   	    0      	       1001010      	0         	    FALSE 	       47,51  	   4A     	     0         
29,14     	  39,41   	    0      	       1000101      	0         	    FALSE 	       47,61  	   45     	     0         
28,82     	  39,29   	    0      	       1001010      	0         	    FALSE 	       47,71  	   4A     	     0         
25,44     	  39,25   	    0      	       1000101      	0         	    FALSE 	       47,81  	   45     	     0         
25,07     	  39,56   	    0      	       1001010      	0         	    FALSE 	       47,91  	   4A     	     0         
25,39     	  39,45   	    0      	       1000101      	0         	    FALSE 	       48,01  	   45     	     0         
25,70     	  39,31   	    0      	       1001010      	0         	    FALSE 	       48,11  	   4A     	     0         
25,44     	  39,14   	    0      	       1000101      	0         	    FALSE 	       48,21  	   45     	     0         
28,75     	  39,57   	    0      	       1001010      	0         	    FALSE 	       48,31  	   4A     	     0         
28,56     	  39,41   	    0      	       1000101      	0         	    FALSE 	       48,41  	   45     	     0         
29,07     	  39,24   	    0      	       1001010      	0         	    FALSE 	       48,51  	   4A     	     0         
28,57     	  39,23   	    0      	       1000101      	0         	    FALSE 	       48,61  	   45     	     0         
28,46     	  39,55   	    0      	       1001010      	0         	    FALSE 	       48,71  	   4A     	     0         
25,80     	  39,33   	    0      	       1000101      	0         	    FALSE 	       48,81  	   45     	     0         
25,75     	  39,33   	    0      	       1001010      	0         	    FALSE 	       48,91  	   4A     	     0         
25,51     	  39,18   	    0      	       1000101      	0         	    FALSE 	       49,01  	   45     	     0         
25,11     	  39,48   	    0      	       1001010      	0         	    FALSE 	       49,11  	   4A     	     0         
25,71     	  39,37   	    0      	       1000101      	0         	    FALSE 	       49,21  	   45     	     0         
28,49     	  39,39   	    0      	       1001010      	0         	    FALSE 	       49,31  	   4A     	     0         
28,62     	  39,29   	    0      	       1000101      	0         	    FALSE 	       49,41  	   45     	     0         
28,63     	  39,60   	    0      	       1001010      	0         	    FALSE 	       49,51  	   4A     	     0         
28,77     	  39,43   	    0      	       1000101      	0         	    FALSE 	       49,61  	   45     	     0         
28,94     	  39,45   	    0      	       1001010      	0         	    FALSE 	       49,71  	   4A     	     0         
26,01     	  39,36   	    0      	       1000101      	0         	    FALSE 	       49,81  	   45     	     0         
